commentaire,sentiment,probleme
"On aimerait activer votre offre, mais malheureusement ça ne marche pas.,",négatif,offres commerciales
"Connexion très lente à la cité Bekkar, Tizi Ouzou.,",négatif,problème réseau
"Le site ne répond pas.,",neutre,N/A
"La réalité est différente : les gens paient ce qu’ils ne consomment pas.,",négatif,autre
"Panne sur une ligne fibre *********,",négatif,problème réseau
"Merci Algérie Télécom, j’ai gagné un répéteur Wi-Fi 6. En attente de votre appel.,",positif,N/A
"Merci pour la confiance. Aujourd’hui j’ai récupéré mon répéteur Wi-Fi.,",positif,N/A
"Je constate un grand laxisme de votre part concernant nos préoccupations.,",neutre,N/A
"Depuis qu’on a pris le modem ce matin, toujours pas de connexion. Apparemment beaucoup de gens ont ce problème. Merci pour votre aide.,",positif,N/A
"Le routeur Idoom ne fonctionne plus. Depuis 3 jours il ne veut pas s’activer avec la fibre.,",négatif,problème réseau
"J’ai augmenté le débit, acheté un modem Wi-Fi 6, gagné un répéteur Wi-Fi 6… et le même jour on m’a coupé l’internet. Merci Algérie Télécom.,",négatif,problème réseau
"Qui a augmenté le débit et s’est retrouvé bloqué sans connexion ? Depuis jeudi 13 mars, plus de connexion chez moi. Suis-je seul dans ce cas ? Si d’autres sont concernés, commentez pour qu’on voie combien nous sommes.,",négatif,problème réseau
"Grâce à Dieu, j’ai été parmi les gagnants. Sincères salutations à Algérie Télécom pour leur loyauté. Merci à Ismaïl de l’agence Hai Djehani à Béchar pour son accueil.,",positif,N/A
"Le modem est en panne depuis hier, c’est quoi le souci ?,",négatif,problème réseau
"Comment augmenter le débit ?,",positif,N/A
"Bonne chance.,",positif,N/A
"Quel débit augmenter ? J’avais 15 Mbps, je l’ai augmenté à 20 Mbps et je n’atteins même pas les 15. Et en plus je suis à 25 km d’Alger, toujours pas de fibre optique…,",négatif,problème réseau
"Quelle offre, quel service ? Depuis que j’ai installé la fibre, elle est en panne depuis 15 jours. J’ai appelé, je suis allé à l’agence commerciale, l’équipe technique sans compétence n’a rien trouvé. Encore 15 jours sans internet. Le service client ne répond pas, et quand ils répondent, aucune solution. À qui s’adresser ?,",neutre,N/A
"J’ai changé de modem, pris le débit le plus élevé, et toujours pas plus de 350 Mbps.,",négatif,problème réseau
"Salam, je vous en prie, lancez l’internet.,",positif,N/A
"J’ai demandé du 120 Mbps, je n’ai rien reçu. Vous donnez ce que vous voulez.,",négatif,problème réseau
"Vous m’avez changé mon offre sans que je le demande, je veux revenir à 15 Mbps comme avant.,",positif,N/A
"Salam, hier matin j’ai rechargé 1500 DA et toujours pas d’internet. Trouvez une solution svp.,",négatif,problème réseau
"Le problème est que le débit est très mauvais… Que faire avec 300 Go ou même 200 Go ?,",négatif,problème réseau
"Vous m’avez doublé le volume, mais c’est beaucoup trop lent, je ne comprends pas pourquoi.,",négatif,problème réseau
"Que faire avec 300 Go alors que l’internet est presque inexistant dans le village Aït Atik, commune de Derguina, wilaya de Béjaïa ? Merci d’améliorer d’abord le débit.,",négatif,problème réseau
"Les amis, on peut activer pour deux mois.,",positif,N/A
"L’offre à 500 DA est doublée.,",positif,N/A
"Résolvez d’abord le problème du débit… Il est vraiment très très faible. Est-ce normal qu’un fichier de 1,9 Mo prenne autant de temps à télécharger ?!,",négatif,problème réseau
"On en a marre des discours, on veut des actions concrètes. Craignez Dieu. Mon modem est installé depuis deux mois, le voyant rouge est toujours allumé. J’attends un entrepreneur à mes frais, mais rien. Toujours pas de résultat. Mon logement est à Biskra.,",négatif,problème réseau
"Qui d’autre a perdu la connexion ? Chez moi elle est partie hier soir, revient une demi-minute puis repart. Qu’est-ce que ça veut dire ?",négatif,problème réseau
"Bonjour, je voulais vous demander s’il vous plaît : quand allez-vous installer la fibre optique dans sa maison ? On attend toujours, merci de me répondre.,",positif,N/A
"Ce genre d’initiative inspire et renforce la cohésion sociale. Il faut saluer une telle action qui valorise l’excellence et l’implication de tous. Bravo à Algérie Télécom pour cet engagement.,",positif,N/A
"Bonne initiative.,",positif,N/A
"Tout le respect et l’estime pour l’association sportive de volley-ball assis d’Amizour, avec à sa tête M. Achour Bouhni et ses membres. Ils méritent tout notre respect pour leurs efforts envers cette catégorie. Salutation militaire, héros !,",positif,N/A
"Très bonne initiative.,",positif,N/A
"Bonne fête et, inchallah, la réussite.,",positif,N/A
"Nous vous adressons notre respect et considération.,",positif,N/A
"Bonne chance à tous, le club de Béjaïa mérite tout le bien.,",positif,N/A
"Je suis une personne en situation de handicap. Ça fait un mois et dix jours que vous ne m’avez toujours pas activé l’internet. C’est honteux.,",négatif,problème réseau
"En ce jour spécial, dépêchez-vous de nous régler l’internet. On est en Ramadan, j’ai même augmenté à 20 mégas et vous me l’avez ramené à 5.,",positif,N/A
"Une initiative à encourager de la part d’Algérie Télécom, une entreprise citoyenne par excellence. Tout notre respect. Le niveau de conscience d’une société se mesure à sa prise en charge des personnes handicapées.,",positif,N/A
"Merci pour la transparence et les surprises auxquelles vous nous avez habitués. J’ai reçu le cadeau hier au bureau de Oued R’hiou, wilaya de Relizane. Merci au personnel pour leur accueil et leur service client. Merci infiniment.,",positif,N/A
"Vérité et sincérité avec Algérie Télécom. J’ai reçu le cadeau hier à Bab El Oued, merci.,",positif,N/A
"Aujourd’hui on m’a contacté pour récupérer le cadeau, et j’ai bénéficié d’un mois d’internet gratuit. Merci.,",positif,N/A
"Merci à Algérie Télécom pour le bonus.,",positif,N/A
"Mille mercis à toute l’équipe d’Algérie Télécom.,",positif,N/A
"J’ai été parmi les gagnants de l’appareil. Merci Algérie Télécom.,",positif,N/A
"Je paie pour du 500 Mbps et quand je fais un test je n’ai que 25 Mbps. À quoi sert l’augmentation du débit ? C’est un vrai problème.,",négatif,problème réseau
"Merci Algérie Télécom pour ce bonus. J’ai bien reçu le cadeau.,",positif,N/A
"J’ai augmenté à 200 Mbps et je ne reçois que 50 Mbps. Comment expliquer cela ?,",négatif,problème réseau
"Mise en service : deux mois ont passé et toujours rien. Chaque jour, on découvre que cette entreprise se soucie très peu de ses clients.,",neutre,N/A
"J’ai augmenté le débit et obtenu un mois gratuit. Merci.,",positif,N/A
"Le 6 mars, j’ai fait l’upgrade, j’ai gagné un modem et un mois gratuit aujourd’hui.,",positif,N/A
"Merci Algérie Télécom pour cette initiative. J’ai gagné un répéteur Wi-Fi 6 et un mois d’internet gratuit.,",positif,N/A
"Opération réussie. J’ai bénéficié de 30 jours supplémentaires et d’un répéteur en cadeau. Le résultat apparaîtra sous 48h après l’augmentation du débit. Merci Algérie Télécom.,",positif,N/A
"J’ai augmenté le débit jeudi, acheté un nouveau modem et jusqu’à présent pas d’internet. Trouvez une solution, vous nous fatiguez.,",négatif,problème réseau
"Ramenez-nous la fibre. Des quartiers récents ont été construits hier et ont déjà la fibre, et nous, rien du tout.,",neutre,N/A
"J’ai augmenté le débit mais rien, je n’ai même pas reçu le modem.,",neutre,N/A
"Merci à vous, moi aussi j’ai eu un mois gratuit en plus.,",positif,N/A
"Avant tout, informez les clients que cette offre n’est pas compatible avec les modems ZTE fibre. À noter qu’il n’y a pas de modèle ZTE Wi-Fi 6... haha.,",négatif,problème réseau
"Aujourd’hui j’ai perdu l’internet alors que j’ai payé l’abonnement le 27 février. Et quand j’appelle, personne ne répond pour m’expliquer pourquoi...,",neutre,N/A
"Merci pour votre sincérité. J’ai gagné un répéteur Wi-Fi 6. Il me reste juste un souhait : que vous organisiez un tirage pour une Omra, j’aurais aimé être parmi les gagnants.,",positif,N/A
"Algérie Télécom, demain vous allez lancer une nouvelle offre de 60 jours à l’occasion du 15 Ramadan... Vous êtes très généreux avec les abonnés fibre… En voir plus.,",positif,N/A
"Quel est le débit maximal possible pour un abonné idoom ADSL ?,",positif,N/A
"On n’a plus internet depuis deux mois car vous refusez de réparer la panne.,",négatif,problème réseau
"Y a-t-il des conditions ? Ça fait un mois que je n’ai pas rechargé.,",négatif,autre
"Ceux qui ont un abonnement 1,2 Go sont-ils concernés ou pas ?,",positif,N/A
"Salam, bon Ramadan à vous. Nous avons installé la fibre depuis plus de 20 jours. Une intervention était nécessaire le 27 février. Aujourd’hui, jeudi 6 mars, l’installation n’a toujours pas été faite.,",positif,N/A
"Vous êtes venus nous couper le téléphone pour dire que vous alliez installer la fibre. Ça fait plus de 20 jours, vous n’êtes jamais revenus. C’est de la négligence et ça nuit à l’image d’une entreprise publique comme Algérie Télécom. Service zéro.,",négatif,problème réseau
"J’ai augmenté le débit de 30 à 60 Mbps et vous m’avez offert un mois gratuit, mais le débit reste à 30 Mbps malgré le redémarrage du modem. Une explication, s’il vous plaît ?",positif,N/A
"Comment peut-on augmenter notre débit et à partir d'où ?,",positif,N/A
"Félicitations et plein de succès et de progrès à venir.,",positif,N/A
"Félicitations, vous méritez toujours l’excellence.,",positif,N/A
"Bravo et bonne continuation.,",positif,N/A
"Félicitations pour la distinction, Algérie Télécom toujours à la pointe.,",positif,N/A
"Mille mille félicitations.,",positif,N/A
"Bonne continuation.,",positif,N/A
"Chaleureuses félicitations au président d’Algérie Télécom et à toute son équipe exceptionnelle pour ce succès bien mérité ! Remporter le prix « Best Practice of Home Broadband Development Award » prouve l’effort et le dévouement dans le développement du réseau FTTH en Algérie.,",positif,N/A
"Bravo !,",positif,N/A
"Bravo, bonne continuation inchallah. Algérie Télécom toujours plus proche.,",positif,N/A
"Mille félicitations.,",positif,N/A
"Nous voulons une baisse des prix de la fibre, car elle est trop chère pour les citoyens. Une demande qui dure depuis longtemps.,",positif,N/A
"Depuis hier il n’y a pas de connexion. C’est honteux.,",négatif,problème réseau
"IPv6 ou IPv4 ?,",négatif,problème réseau
"En août 2021, les travaux de raccordement du quartier à la fibre ont été faits par un seul entrepreneur, donc c’est le même chantier. Pourquoi certains ont eu l’internet en 4 jours et d’autres attendent depuis un mois ? Et quand j’appelle vos services, on me dit que l’activation... En voir plus,",neutre,N/A
"Franchement, c’est une entreprise incompréhensible. Couvrez d’abord tout le territoire national avant de faire de la pub pour la fibre. La moitié de l’Algérie souffre encore avec l’ADSL, et vous dites : « choisissez votre offre et profitez ». Profiter de quoi avec l’ADSL ? Et on paie les modems !,",négatif,problème réseau
"Trois mois qu’on attend. On vieillit avec vos problèmes, personne ne se soucie de nous, où est le problème ? Et celui qu’on appelle n’est même pas la bonne personne.,",négatif,autre
"J’habite près de la direction, et rien que pour venir me raccorder ils ne sont jamais venus. J’ai payé depuis un mois et demi. Ils disent que c’est le système, alors qu’après avoir déposé le dossier on m’a appelé dès le lendemain pour payer. Ce n’est pas juste, les frères, ce n’est pas de la justice. (Sidi Bel Abbès),",négatif,problème réseau
"Ils nous ont installé le modem, tout le quartier attend maintenant la mise en service.,",positif,N/A
"Je vous conseille de donner des consignes à vos agences de ne plus dire « Patientez » ou « Il faut attendre » aux clients, car cela ne correspond pas à un service internet qui doit être rapide.,",neutre,N/A
"Pouvez-vous m’aider à obtenir mon numéro client ? Le site que vous avez donné ne fonctionne pas. Merci.,",négatif,problème réseau
"J’ai une nouvelle fibre et j’ai bénéficié du mois gratuit, mais quand je veux recharger, on me dit que le numéro est incorrect. Pourquoi ?,",négatif,problème réseau
"Le modem a été installé depuis un mois, et toujours pas d’internet.,",neutre,N/A
"Qu’en est-il des incitations pour IDOOM 4G LTE ?... Cordialement.,",positif,N/A
"Je paie via CCP mais malheureusement il n’y a aucun bonus.,",négatif,facturation
"Je paie tout le temps internet, souvent en retard, je dois emprunter, et en plus ça coupe tout le temps.,",négatif,problème réseau
"L’espace client ne fonctionne pas.,",négatif,problème réseau
"Par pitié, rétablissez notre internet. Ça fait un mois que tout est installé. On est allés au bureau d’Algérie Télécom, ils nous disent que ce n’est pas de leur ressort, que ça vient d’Alger. Trouvez-nous une solution.,",négatif,problème réseau
"Nous utilisons ce service depuis des années et jamais un bonus. Pourquoi ?,",neutre,N/A
"Si le quota se termine avant six mois, est-ce que je peux encore me connecter ? Et à quelle vitesse ?,",positif,N/A
"La plus grande arnaque de l’après-midi, c’est cette offre… activée, puis après deux semaines le modem s’est arrêté et personne n’a pu le réparer. 6500 DA partis en fumée.,",négatif,offres commerciales
"Y a-t-il une offre spéciale pour Ramadan ?,",positif,N/A
"La vitesse est catastrophique, elle ne dépasse pas 500 kbps aux heures de pointe.,",négatif,problème réseau
"Libérez la fibre, libérez la mise en service.,",positif,N/A
"Ça fait quatre mois que j’ai payé et toujours rien.,",neutre,N/A
"Bonjour, augmentez la vitesse internet au lieu de multiplier les gigas.,",positif,N/A
"Elle est super lente, on dirait que c’est du 1G et pas du 4G.,",négatif,problème réseau
"Il faut au moins qu’il y ait du réseau.,",positif,N/A
"C’est vraiment lent.,",négatif,offres commerciales
"J’avais des coupures, et quand l’équipe technique est venue pour réparer, ils ont tout coupé : plus d’internet, plus de ligne téléphonique.,",négatif,problème réseau
"Que Dieu vous guide. Réglez le réseau. Ça fait cinq jours, toujours rien.,",neutre,N/A
"Le site internet est en panne depuis plus d’une semaine, et vous continuez à partager des liens qui ne fonctionnent pas.,",négatif,problème réseau
"La pire erreur : j’ai rechargé via l’application, 2000 DA prélevés, le compte n’a pas été crédité et pas d’internet. J’ai appelé, envoyé des messages… rien.,",négatif,problème réseau
"Mettez une option dans l’application pour enlever la pause.,",positif,N/A
"Est-ce normal qu’une panne dure plus d’une semaine pour le téléphone fixe et internet ? Après plusieurs réclamations, personne ne s’intéresse à vous.,",négatif,problème réseau
"Frère ou sœur, ça fait un mois et sept jours qu’on attend la connexion internet depuis l’installation de la fibre.",négatif,problème réseau
"On ne peut pas accéder à votre site. Sérieusement ?,",négatif,infrastructure
"Donnez-nous internet, on a installé le modem depuis 14 jours, toujours rien. C’est une honte. Vous n’êtes pas plus proches de nous, vous êtes bien plus loin !,",négatif,problème réseau
"Je veux comprendre une seule chose : j’ai pris l’offre 300 Mb, quand je teste la vitesse, je trouve 6 Mb, et au mieux 75. Alors où sont les 300 Mb ???,",négatif,problème réseau
"Tout est prêt sauf la mise en service à Constantine, ils ne la font pas.,",neutre,N/A
"Nous attendons depuis un mois et cinq jours.,",négatif,réactivité
"Nous, les habitants des 178 logements du quartier En-Nour 2 à Maghnia (LPL), sommes profondément désolés. Après notre dernière lettre à votre haute autorité, notre demande n’a pas été prise en compte. Est-il normal que des quartiers illégaux soient raccordés en janvier/février et que nous, en plein centre-ville, soyons oubliés ?,",négatif,problème réseau
"Ça fait un mois depuis l’installation et toujours pas de mise en service. Plusieurs réclamations, aucune suite.,",neutre,N/A
"Nous, les utilisateurs du modem 4G, souffrons énormément. Augmentez le débit internet s’il vous plaît.,",négatif,problème réseau
"Ça fait presque 15 jours que j’attends qu’ils activent la connexion depuis Alger. Je les appelle, ils disent d’attendre, aujourd’hui, demain… c’est du n’importe quoi.,",neutre,N/A
"À Aïn El Kadima, s’il vous plaît, le modem n’a pas encore été installé.,",positif,N/A
"Est-ce qu’il vient avec une puce Algérie Télécom ?,",négatif,problème réseau
"Ça fait deux mois sans internet dans le quartier Bouyadha, Abou Tachfine, wilaya de Tlemcen.,",neutre,N/A
"Utilisez aussi une autre langue étrangère, certains termes ne passent pas, l’arabe seul ne suffit pas.,",négatif,autre
"Il n’y a pas de solution pour payer à distance ? Faut-il toujours venir chez vous ? Il y a trop de monde, on y passe la journée.,",négatif,offres commerciales
"Déployez la fibre à Tissemsilt, après ce sera facile.,",positif,N/A
"Nous sommes sans internet depuis 3 mois, et vous… pas de réaction ???,",neutre,N/A
"Le site d’Algérie Télécom est hors service depuis une semaine, c’est une dégradation inacceptable du service !,",négatif,problème réseau
"Pas de connexion 4G.,",négatif,problème réseau
"Activez internet, c’est quoi cette mascarade ?,",négatif,problème réseau
"Pas d’internet.,",neutre,N/A
"Est-ce que cela s’applique à l’année 2024 ou à partir de 2025 ?,",positif,N/A
"Avec tout le respect, mais vous m’avez escroqué. Deux ans que je recharge mon modem 4G, et jamais pu en profiter comme les autres.,",négatif,problème réseau
"Il n’y a personne pour écouter. Depuis que j’ai souscrit à la fibre, je n’ai jamais eu internet. Où sont vos services ? Aucune connexion depuis l’installation.,",neutre,N/A
"Le site est en panne depuis des jours.,",négatif,problème réseau
"Le modem fibre est installé depuis 10 jours, mais pas de connexion. On a tout fait, mais personne ne réagit. S’il vous plaît, réglez ce problème.,",neutre,N/A
"Quand est-ce que ça arrivera à El Maamoura (wilaya de Bouira) ? On souffre.,",négatif,autre
"Tu consommes 1,2 Go et tu reçois à peine 355 Mo à Constantine.,",négatif,offres commerciales
"Merci de répondre en privé, pourquoi ne répondez-vous plus aux messages ?,",positif,N/A
"On vous a envoyé notre problème en privé, aucune réponse.,",neutre,N/A
"Lâchez la fibre. Ils ont installé les modems depuis un mois à Batna. Rendez-nous service.,",positif,N/A
"Haha Constantine c’est une catastrophe, demandez-leur.,",négatif,autre
"Je veux vraiment m’abonner à cette offre, mais je n’ai que l’ADSL. Quelle solution ?,",négatif,problème réseau
"J’ai souscrit à la fibre il y a 25 jours, toujours pas activée. À chaque visite on me dit que c’est un problème à Bab Ezzouar. Donnez-nous une solution. Ça fait un an qu’on attend le modem, et même après l’installation, pas de connexion. J’ai pourtant tout payé.,",négatif,problème réseau
"Je veux parler de mon problème : ça fait 10 jours que le modem est installé et toujours pas de connexion. J’ai trouvé d’autres qui attendent depuis 20 jours ou plus. C’est triste.,",négatif,problème réseau
"Le modem fibre est installé depuis 13 jours, toujours pas de connexion. On me dit « l’entrepreneur va venir », puis « c’est à Alger ». Franchement, vous vous moquez des citoyens.,",négatif,problème réseau
"Réglez la connexion que vous avez coupée alors qu’on a payé.,",positif,N/A
"Réglez d’abord la connexion des gens, ensuite on parlera du reste.,",positif,N/A
"J’aime la digitalisation, je souhaite que vous amélioriez les applications et que vous ajoutiez de bons services comme la possibilité de suspendre internet pendant les voyages.,",positif,N/A
"Ce qui concerne le paiement, vous le réglez immédiatement, mais l’internet jamais !,",négatif,problème réseau
"Bonne chose.,",positif,N/A
"Bonne chance à Algérie Télécom pour la mission de généralisation de la fibre optique. Mille mercis à vos équipes pour leurs efforts.,",positif,N/A
"C’est le premier post que j’apprécie. Est-ce que c’est confirmé dans toutes les agences ou pas encore ?,",positif,N/A
"Merci pour vos efforts. Je voudrais remercier monsieur Saïd Ghlis, un homme bon et respectueux, employé chez Algérie Télécom à Souk Ahras. Un professionnel hors pair.,",positif,N/A
"Quand la ligne fixe est suspendue pour non-paiement, si on paye chez Djezzy, est-ce que la ligne est rétablie ?,",neutre,N/A
"Très bonne nouvelle.,",positif,N/A
On aimerait que l’abonnement au téléphone fixe ne soit pas obligatoire.,positif,N/A
"Le progrès des travaux est extrêmement lent, surtout dans les quartiers populaires. Toute votre attention est centrée sur les immeubles. Nous, les clients ADSL fidèles de longue date, devrions être les premiers à bénéficier de cette fibre.,",positif,N/A
"Rien n’a été fait ici à Lakhdaria (wilaya de Bouira). Cela fait plus d’un an et demi qu’on vous demande de remplacer les lignes internet anciennes et défectueuses par la fibre optique. Toujours rien, même dans le centre de la commune.,",neutre,N/A
"Nous sommes dans l’Algérie profonde, je ne pense pas que vos fibres atteindront un jour notre maison.,",négatif,problème réseau
"À quoi bon raccorder à la fibre optique si elle ne fonctionne pas ?,",négatif,problème réseau
"Depuis octobre, vous dites que notre demande est à l’étude, qu’ils vont venir… Si on peut acheter un modem nous-mêmes, pas de problème, installez au moins !,",positif,N/A
"La 4G = 0 à Aïn Fattah.,",négatif,problème réseau
"Le village Amara, commune de Aïn El Ibel, wilaya de Djelfa, n’a aucune couverture réseau, ni ADSL ni fibre FTTH.,",neutre,N/A
"Je ne comprends pas. Il y a un an, vous avez passé les câbles et installé les boîtiers. Il y a 3 mois, vous nous avez appelés pour signer le nouveau contrat, en disant que ça serait activé dans la semaine. Depuis, personne n’est venu. Rien dans toute la région ! (Beni Saf, Aïn Témouchent, zone urbaine),",neutre,N/A
"C’est une blague. Vous faites de la pub pour la fibre, alors que ceux qui ont déjà les lignes installées attendent toujours depuis plus de 20 jours sans connexion.,",négatif,offres commerciales
"Un mois qu’on a acheté le modem, toujours pas installé. Le service technique de Réghaïa est complètement dépassé, aucune considération pour les clients. Tout ça parce qu’il n’y a pas de concurrence.,",neutre,N/A
"L’espace client refuse toutes mes tentatives de connexion, disant que le compte est déjà utilisé, depuis que j’ai changé de numéro. Ça fait plus de deux ans, y a-t-il une solution ?,",négatif,service client
"Une semaine sans internet.,",neutre,N/A
"Trois semaines que le modem fibre est allumé, tous les voyants aussi, même le câble branché, mais le numéro n’est toujours pas validé. Toujours pas de mise en service. J’ai appelé quatre fois le 12 durant ces trois semaines… silence total.,",négatif,problème réseau
"J’ai un modem 4G, je veux savoir où trouver le numéro client pour m’enregistrer.,",positif,N/A
"Que Dieu vous aide, mais on a vieilli à attendre un simple raccordement. Tout reste non réglé.,",neutre,N/A
"Que Dieu vous guide. On attend une simple boîte de distribution. Plus de 20 foyers sans internet. C’est honteux, en 2025, pas d’internet !,",négatif,offres commerciales
"Ça fait 16 jours que le modem est installé, toujours pas d’internet. Je suis fatigué.,",négatif,problème réseau
"Internet est instable en permanence. On a essayé de résoudre le problème avec les services, sans succès. Wilaya de Saïda, daïra de Ouled Brahim, plus précisément Douar Ouled Ali. On est épuisés.,",négatif,problème réseau
"Commencez par stabiliser le service, puis vous parlerez des avantages. Cela fait deux mois que c’est coupé.,",positif,N/A
"Impossible de le faire fonctionner via Manal.,",négatif,problème réseau
"J’ai signalé à plusieurs reprises à propos de mon compte client inaccessible. À chaque fois, on me dit qu’il est utilisé avec mon ancien numéro. J’ai un nouveau numéro, je n’arrive pas à créer un nouveau compte malgré vos instructions.,",négatif,autre
"La recharge d’urgence ne fonctionne pas du tout.,",négatif,problème réseau
"L’application est bloquée depuis longtemps, elle ne marche pas.,",négatif,problème réseau
"Dix jours après l’installation du modem, toujours pas d’internet. Peut-on vous rendre le modem ? L’internet en Algérie est un marché vide.,",neutre,N/A
"Je veux faire une demande, mais on me demande le numéro client. Où le trouver ?,",négatif,problème réseau
"J’ai payé un mois, je voulais poser une question, on me dit que ce n’est pas possible. Ça fait 6 jours sans internet.,",négatif,problème réseau
"Un mois entier sans internet dans le quartier 1240 logements, Ouled Aïch, Blida. Et vous faites de la pub pour l’application. Vous nous avez fatigués, vous avez ruiné notre qualité de vie.,",négatif,offres commerciales
"Super.,",positif,N/A
"Un citoyen algérien demande une ligne internet depuis 10 mois, sans réponse. C’est une honte. Une grande ville comme Annaba est négligée, c’est une honte pour Algérie Télécom d’Alger. Fibre installée depuis 10 mois, ligne confirmée depuis plus d’un mois. Vous nous tuez avec votre centralisation.,",négatif,problème réseau
"Tous nos vœux de succès à notre collègue monsieur Nassim Zehar.,",positif,N/A
"À Berrahal, Annaba, cela fait plus de 19 jours que la fibre est installée, mais toujours pas de connexion.,",neutre,N/A
"La commune de El Mehara, wilaya d’El Bayadh, n’a aucune couverture. Où est le problème ?,",négatif,autre
"Le modem Idoom 4G ne fonctionne pas. Il est resté inactif plus d’un mois. Pourquoi ?,",négatif,problème réseau
"Absence de service 4G, nos enfants ont des examens. S’il vous plaît, résolvez ce problème.,",positif,N/A
"Activez la connexion. Ça fait plus de 10 jours qu’on a installé la fibre et toujours rien !,",neutre,N/A
"Combien de temps après l’installation du câble fibre faut-il attendre pour que le modem fonctionne ?,",positif,N/A
"Bravo.,",positif,N/A
"J’ai un problème avec le modem 4G. Je l’ai acheté aujourd’hui, on dit que le débit est élevé, mais même pas un demi méga. Pourquoi ?,",négatif,problème réseau
"Pourquoi vous ne répondez pas sur la page Facebook ?,",négatif,problème réseau
"J’ai payé internet jeudi, et toujours rien. Où est le problème ?,",neutre,N/A
"Le débit internet est tellement faible qu’on ne peut même pas ouvrir Facebook Lite.,",négatif,problème réseau
"Ensemble, sensibilisons nos enfants aux dangers de l’usage excessif d’internet.,",négatif,problème réseau
"Bonjour, ça fait 15 jours qu’on m’a installé le modem, et toujours pas de connexion. Une explication, s’il vous plaît ?",négatif,problème réseau
"Vous avez coupé internet en pleine période des examens !,",négatif,problème réseau
"Quand l’opérateur Algérie Télécom va-t-il annoncer le lancement de la campagne nationale d’amélioration du service Internet et du service client ? Vite svp.,",positif,N/A
"Mon cousin, vous avez encore ressorti la même histoire que l’autre jour… Libérez la connexion 4G !,",négatif,problème réseau
"La connexion est coupée, remettez-la ! Cela fait à peine une heure qu’elle est partie.,",négatif,problème réseau
"Rendez-nous la connexion 4G.,",positif,N/A
"Pourquoi installez-vous des câbles fins qui se coupent tout seuls et provoquent des courts-circuits ? Est-ce que je peux retrouver ce câble ou que faire ?,",négatif,problème réseau
"Que Dieu vous guide. Rétablissez le réseau, ça fait 3 jours qu’il n’y a plus de connexion.,",négatif,problème réseau
"La connexion est coupée depuis ce matin sur l’ancien modem. Pourquoi ?,",négatif,problème réseau
"Quelle internet supplémentaire ? Vous voulez nous rendre fous ?! Même l’internet de base ne fonctionne pas. Réglez déjà ça, je renonce à l’option supplémentaire, j’en ai marre !,",négatif,problème réseau
"Yiyaw ! Libérez sérieusement la connexion, c’est une honte, on est en 2025 et vous avez encore des coupures.,",négatif,problème réseau
"Nous avons envoyé toutes les informations et communiqué avec vous en privé, mais internet n’est toujours pas activée.,",neutre,N/A
"Activez d’abord internet, le reste suivra. Le modem est là depuis un mois sans connexion. C’est comme si vous l’aviez installé pour rien.,",neutre,N/A
"4G LTE coupée.,",négatif,problème réseau
"Quand on s’abonne, est-ce que le raccordement à l’appartement se fait rapidement ou ça prend du temps ? Les immeubles sont neufs.,",positif,N/A
"Pas de connexion 4G.,",négatif,problème réseau
"Veuillez activer internet, pourquoi ce retard ?,",négatif,problème réseau
"J’ai un problème avec la fibre, elle se coupe. Je suis venu me plaindre plusieurs fois, vous m’avez dit ‘on vient’, mais jamais personne n’est venu. Que faire maintenant ?,",négatif,problème réseau
"Veuillez activer internet s’il vous plaît, on en a besoin.,",positif,N/A
"Merci de répondre en privé, j’ai un problème : pas d’internet. Je suis allé au centre, on m’a dit qu’il n’y avait pas de solution, alors que j’ai payé l’abonnement.,",négatif,problème réseau
"Ça fait 15 jours que j’attends qu’ils viennent installer le Wi-Fi, et ils ne répondent même pas au téléphone fixe.,",négatif,problème réseau
"Avec la fibre, internet est devenue rapide et stable, merci à vous, bonne continuation.,",positif,N/A
"Quand allez-vous remplacer les anciens modems pour les abonnés Idoom Fibre 1200 Mbps ? On paie pour un débit qu’on n’a pas à cause des équipements limités que vous fournissez.,",positif,N/A
"Installez juste la fibre, et le reste ira tout seul.,",positif,N/A
"La vieille et fière wilaya de Djelfa, quartier Qanani, attend toujours la fibre optique… Silence radio.,",neutre,N/A
"Où est le débit ? Je paie pour 300 Mbps et je reçois 15 Mbps. Où est la crédibilité ?,",positif,N/A
"De la camelote, vraiment. J’ai un problème depuis 3 mois avec l’offre gamer : je devrais avoir 180 Mbps en upload avec une offre à 300 Mbps, mais je suis bloqué à 48 Mbps !,",négatif,problème réseau
"Quand allez-vous raccorder la ville de Larbaâ (Blida) à la fibre ?,",positif,N/A
"Effectivement, c’est une vraie machine. Tout fonctionne parfaitement. J’ai installé mon application IPTV préférée, tout est fluide. Tous les autres appareils sont connectés à la box, et elle diffuse en 2,4 GHz et 5 GHz.,",positif,N/A
"Le quartier El Jazira 126 logements, en face de la clinique, du collège et du lycée à Tamanrasset, n’a aucune couverture Algérie Télécom, ni 4G, ni ADSL, ni fibre FTTH.,",neutre,N/A
"Je recharge tout le temps, mais je n’ai jamais rien gagné un seul jour.,",neutre,N/A
"Depuis plus de 26 mois, je recharge via paiement électronique et je n’ai jamais eu un seul jour de bonus au-delà des 30 jours. Arrêtez de vous moquer de nous !,",neutre,N/A
"Un mois et demi que je signale un problème de connexion lente. Rien n’a changé. Le technicien fait le difficile, il est le seul à couvrir 4 communes de la daïra.,",négatif,problème réseau
"J’ai payé avec ma carte bancaire, mais je n’ai rien reçu.,",neutre,N/A
