commentaire,commentaire_nettoye,commentaire_spacy,lemmes,tokens_utiles,sentiment,probleme
"Le problème, ce n’est pas l’offre, c’est l’agence : pas de fibre, pas de réparations. Même en centre-ville, certains quartiers ne sont pas raccordés, alors comment bénéficier des offres ?;","Le problème, ce n’est pas l’offre, c’est l’agence : pas de fibre, pas de réparations. Même en centre-ville, certains quartiers ne sont pas raccordés, alors comment bénéficier des offres ?","Le problème, ce n’est pas l’offre, c’est l’agence : pas de fibre, pas de réparations. Même en centre-ville, certains quartiers ne sont pas raccordés, alors comment bénéficier des offres ?",problème offre agence fibre réparation centre ville quartier raccorder bénéficier offre,problème offre agence fibre réparations centre ville quartiers raccordés bénéficier offres,négatif,problème réseau
"Vous nous avez créé un gros problème avec l’installation d’internet. En août, vous nous avez retiré la connexion pour la donner à d’autres. On souffre maintenant avec un internet 15 Mbps aussi lent qu’une tortue. Avant je regardais des chaînes, maintenant YouTube se coupe tout le temps.;","Vous nous avez créé un gros problème avec l’installation d’internet. En août, vous nous avez retiré la connexion pour la donner à d’autres. On souffre maintenant avec un internet 15 Mbps aussi lent qu’une tortue. Avant je regardais des chaînes, maintenant YouTube se coupe tout le temps.","Vous nous avez créé un gros problème avec l’installation d’internet. En août, vous nous avez retiré la connexion pour la donner à d’autres. On souffre maintenant avec un internet 15 Mbps aussi lent qu’une tortue. Avant je regardais des chaînes, maintenant YouTube se coupe tout le temps.",avoir créer gros problème installation internet août avoir retirer connexion donner souffrir internet 15 mbp lent tortue regarder chaîne youtube coupe temps,avez créé gros problème installation internet août avez retiré connexion donner souffre internet 15 mbps lent tortue regardais chaînes youtube coupe temps,négatif,problème réseau
"Joyeuse journée à la fin de cette offre, qu’on se débarrasse enfin de ce mal quotidien que vous diffusez.;","Joyeuse journée à la fin de cette offre, qu’on se débarrasse enfin de ce mal quotidien que vous diffusez.","Joyeuse journée à la fin de cette offre, qu’on se débarrasse enfin de ce mal quotidien que vous diffusez.",joyeuse journer fin offre débarrasser mal quotidien diffuser,joyeuse journée fin offre débarrasse mal quotidien diffusez,positif,
Le jour où la fibre arrivera chez moi.;,Le jour où la fibre arrivera chez moi.,Le jour où la fibre arrivera chez moi.,jour fibre arriver,jour fibre arrivera,positif,
Je poste ou je mange ?;,Je poste ou je mange ?,Je poste ou je mange ?,poste manger,poste mange,négatif,problème réseau
La fibre c’est que pour les villas… les villages sont oubliés.;,La fibre c’est que pour les villas… les villages sont oubliés.,La fibre c’est que pour les villas… les villages sont oubliés.,fibre villa village oublier,fibre villas villages oubliés,négatif,problème réseau
Est-ce que toutes les villes et quartiers sont concernés par l’installation ?;,Est-ce que toutes les villes et quartiers sont concernés par l’installation ?,Est-ce que toutes les villes et quartiers sont concernés par l’installation ?,-ce ville quartier concerner installation,-ce villes quartiers concernés installation,positif,
"On n’a même pas de ligne fixe, malgré plusieurs appels à Algérie Télécom à Chlef et des signalements via le numéro vert. Personne n’a pris la peine de se déplacer.;","On n’a même pas de ligne fixe, malgré plusieurs appels à Algérie Télécom à Chlef et des signalements via le numéro vert. Personne n’a pris la peine de se déplacer.","On n’a même pas de ligne fixe, malgré plusieurs appels à Algérie Télécom à Chlef et des signalements via le numéro vert. Personne n’a pris la peine de se déplacer.",ligne fixe appel algérie télécom chlef signalement numéro vert prendre peine déplacer,ligne fixe appels algérie télécom chlef signalements numéro vert pris peine déplacer,neutre,
"Vous nous avez fatigués avec cette offre, mais vous refusez de connecter le quartier 492 logements Djennane Achabou à Dely Ibrahim ?;","Vous nous avez fatigués avec cette offre, mais vous refusez de connecter le quartier 492 logements Djennane Achabou à Dely Ibrahim ?","Vous nous avez fatigués avec cette offre, mais vous refusez de connecter le quartier 492 logements Djennane Achabou à Dely Ibrahim ?",avoir fatiguer offre refuser connecter quartier 492 logement djennane achabou dely ibrahim,avez fatigués offre refusez connecter quartier 492 logements djennane achabou dely ibrahim,négatif,offres commerciales
"Quand vous installez la fibre, faites les offres en même temps.;","Quand vous installez la fibre, faites les offres en même temps.","Quand vous installez la fibre, faites les offres en même temps.",installer fibre fait offre temps,installez fibre faites offres temps,positif,
"Ayez pitié de vos clients, réglez d’abord l’ADSL, ensuite vous ferez le reste. On sait déjà que la fibre ne viendra pas avant des années.;","Ayez pitié de vos clients, réglez d’abord l’ADSL, ensuite vous ferez le reste. On sait déjà que la fibre ne viendra pas avant des années.","Ayez pitié de vos clients, réglez d’abord l’ADSL, ensuite vous ferez le reste. On sait déjà que la fibre ne viendra pas avant des années.",ayez pitier client régler adsl ensuite faire fibre venir année,ayez pitié clients réglez adsl ensuite ferez fibre viendra années,négatif,offres commerciales
Ce n’est que de la pub. J’ai fait ma demande et ça fait plus de 15 jours que j’attends.;,Ce n’est que de la pub. J’ai fait ma demande et ça fait plus de 15 jours que j’attends.,Ce n’est que de la pub. J’ai fait ma demande et ça fait plus de 15 jours que j’attends.,pub demande 15 jour attend,pub demande 15 jours attends,négatif,offres commerciales
"Quand ça sera généralisé à toutes les régions… Chez nous, dans une même zone, une partie est couverte et l’autre non, depuis plus d’un an. Le rythme de déploiement est extrêmement lent. Tebessa / Bekkaria.;","Quand ça sera généralisé à toutes les régions… Chez nous, dans une même zone, une partie est couverte et l’autre non, depuis plus d’un an. Le rythme de déploiement est extrêmement lent. Tebessa / Bekkaria.","Quand ça sera généralisé à toutes les régions… Chez nous, dans une même zone, une partie est couverte et l’autre non, depuis plus d’un an. Le rythme de déploiement est extrêmement lent. Tebessa / Bekkaria.",généraliser région zone partie couvert non an rythme déploiement extrêmement lent tebessa bekkaria,généralisé régions zone partie couverte non an rythme déploiement extrêmement lent tebessa bekkaria,neutre,
"La fibre n’est pas encore installée, ils sont en travaux. Est-ce que je peux payer l’offre maintenant et en bénéficier une fois qu’elle est disponible ? Expliquez-nous bien.;","La fibre n’est pas encore installée, ils sont en travaux. Est-ce que je peux payer l’offre maintenant et en bénéficier une fois qu’elle est disponible ? Expliquez-nous bien.","La fibre n’est pas encore installée, ils sont en travaux. Est-ce que je peux payer l’offre maintenant et en bénéficier une fois qu’elle est disponible ? Expliquez-nous bien.",fibre installer traval -ce payer offrir bénéficier fois disponible expliquer nous bien,fibre installée travaux -ce payer offre bénéficier fois disponible expliquez -nous bien,positif,
"Bonjour, je voudrais savoir : quand on appelle un numéro fixe et que le message dit ‘numéro suspendu’, cela veut-il dire que c’est temporaire ou définitif ?;","Bonjour, je voudrais savoir : quand on appelle un numéro fixe et que le message dit ‘numéro suspendu’, cela veut-il dire que c’est temporaire ou définitif ?","Bonjour, je voudrais savoir : quand on appelle un numéro fixe et que le message dit ‘numéro suspendu’, cela veut-il dire que c’est temporaire ou définitif ?",bonjour vouloir savoir appeler numéro fixe message numéro suspendre vouloir il temporaire définitif,bonjour voudrais savoir appelle numéro fixe message numéro suspendu veut -il temporaire définitif,négatif,problème réseau
Mon téléphone est coupé depuis plus d’un mois… aucune réaction malgré que c’est une ligne Idoom Fibre.;,Mon téléphone est coupé depuis plus d’un mois… aucune réaction malgré que c’est une ligne Idoom Fibre.,Mon téléphone est coupé depuis plus d’un mois… aucune réaction malgré que c’est une ligne Idoom Fibre.,téléphone couper mois aucun réaction ligne idoom fibre,téléphone coupé mois aucune réaction ligne idoom fibre,neutre,
"Fournissez-nous la fibre optique, ensuite vous pourrez faire vos offres.;","Fournissez-nous la fibre optique, ensuite vous pourrez faire vos offres.","Fournissez-nous la fibre optique, ensuite vous pourrez faire vos offres.",fournissez nous fibre optique ensuite pouvoir faire offre,fournissez -nous fibre optique ensuite pourrez faire offres,positif,
"Des offres pour une minorité qui a la fibre, on est en 2025 et on souffre toujours avec l’internet via cuivre. Et jusqu’à présent, aucune réponse de l’agence quant à la date d’arrivée de la fibre. Peut-être en 2030, ou pas du tout.;","Des offres pour une minorité qui a la fibre, on est en 2025 et on souffre toujours avec l’internet via cuivre. Et jusqu’à présent, aucune réponse de l’agence quant à la date d’arrivée de la fibre. Peut-être en 2030, ou pas du tout.","Des offres pour une minorité qui a la fibre, on est en 2025 et on souffre toujours avec l’internet via cuivre. Et jusqu’à présent, aucune réponse de l’agence quant à la date d’arrivée de la fibre. Peut-être en 2030, ou pas du tout.",offre minorité fibre 2025 souffrir internet cuivre jusqu’ présent aucun réponse agence date arrivée fibre 2030,offres minorité fibre 2025 souffre internet cuivre jusqu’ présent aucune réponse agence date arrivée fibre 2030,négatif,problème réseau
"Quand je m’inscris pour acheter, j’arrive à ma commune mais mon quartier n’est même pas dans les options.;","Quand je m’inscris pour acheter, j’arrive à ma commune mais mon quartier n’est même pas dans les options.","Quand je m’inscris pour acheter, j’arrive à ma commune mais mon quartier n’est même pas dans les options.",inscrire acheter arriver commune quartier option,inscris acheter arrive commune quartier options,neutre,
"Trouvez-nous une solution, on a essayé de se connecter à Blida à plusieurs endroits, cela fait une semaine sans internet.;","Trouvez-nous une solution, on a essayé de se connecter à Blida à plusieurs endroits, cela fait une semaine sans internet.","Trouvez-nous une solution, on a essayé de se connecter à Blida à plusieurs endroits, cela fait une semaine sans internet.",trouver nous solution essayer connecter blida endroit semaine internet,trouvez -nous solution essayé connecter blida endroits semaine internet,négatif,problème réseau
Quel est le prix du modem WiFi 6 en agence ?;,Quel est le prix du modem WiFi 6 en agence ?,Quel est le prix du modem WiFi 6 en agence ?,prix modem wifi 6 agence,prix modem wifi 6 agence,positif,
Pas d’internet.;,Pas d’internet.,Pas d’internet.,internet,internet,neutre,
"L’offre promotionnelle est sur Facebook, mais en réalité il n’y a rien. Cela fait 20 jours que les installations sont finies chez nous, et plus rien depuis.;","L’offre promotionnelle est sur Facebook, mais en réalité il n’y a rien. Cela fait 20 jours que les installations sont finies chez nous, et plus rien depuis.","L’offre promotionnelle est sur Facebook, mais en réalité il n’y a rien. Cela fait 20 jours que les installations sont finies chez nous, et plus rien depuis.",offre promotionnel facebook réalité rien 20 jour installation finir rien,offre promotionnelle facebook réalité rien 20 jours installations finies rien,neutre,
Prenez un jour dans votre vie pour annoncer que vous avez amélioré le débit d’Idoom 4G.;,Prenez un jour dans votre vie pour annoncer que vous avez amélioré le débit d’Idoom 4G.,Prenez un jour dans votre vie pour annoncer que vous avez amélioré le débit d’Idoom 4G.,prenez jour vie annoncer avoir améliorer débit idoom 4g.,prenez jour vie annoncer avez amélioré débit idoom 4g.,positif,
"Bonjour, cela fait plus d’un mois que l’installation n’a pas été faite, sans retour ni appel de vos services, malgré mes nombreuses tentatives. Cette situation est très dérangeante pour moi...;","Bonjour, cela fait plus d’un mois que l’installation n’a pas été faite, sans retour ni appel de vos services, malgré mes nombreuses tentatives. Cette situation est très dérangeante pour moi...","Bonjour, cela fait plus d’un mois que l’installation n’a pas été faite, sans retour ni appel de vos services, malgré mes nombreuses tentatives. Cette situation est très dérangeante pour moi...",bonjour mois installation être faire appel service tentative situation dérangeante,bonjour mois installation été faite appel services tentatives situation dérangeante,négatif,infrastructure
"Batna, incompréhensible.;","Batna, incompréhensible.","Batna, incompréhensible.",batna incompréhensible,batna incompréhensible,négatif,problème réseau
"Bonjour, il y a deux jours je suis allé à Algérie Télécom à Adrar pour demander un WiFi fibre, ils m’ont demandé 2333 DA mais ne m’ont pas donné de modem WiFi 6, juste un normal.;","Bonjour, il y a deux jours je suis allé à Algérie Télécom à Adrar pour demander un WiFi fibre, ils m’ont demandé 2333 DA mais ne m’ont pas donné de modem WiFi 6, juste un normal.","Bonjour, il y a deux jours je suis allé à Algérie Télécom à Adrar pour demander un WiFi fibre, ils m’ont demandé 2333 DA mais ne m’ont pas donné de modem WiFi 6, juste un normal.",bonjour jour aller algérie télécom adrar demander wifi fibre demander 2333 donner modem wifi 6 normal,bonjour jours allé algérie télécom adrar demander wifi fibre demandé 2333 donné modem wifi 6 normal,neutre,
"Quartier 1306, Oued Ouchayeh, vous avez trop tardé. On est en retard, trouvez-nous une solution.;","Quartier 1306, Oued Ouchayeh, vous avez trop tardé. On est en retard, trouvez-nous une solution.","Quartier 1306, Oued Ouchayeh, vous avez trop tardé. On est en retard, trouvez-nous une solution.",quartier 1306 oued ouchayeh avoir trop tarder retard trouver nous solution,quartier 1306 oued ouchayeh avez trop tardé retard trouvez -nous solution,négatif,infrastructure
"Dans notre quartier, pas d’ADSL, pas de fibre, on vit avec la 4G.;","Dans notre quartier, pas d’ADSL, pas de fibre, on vit avec la 4G.","Dans notre quartier, pas d’ADSL, pas de fibre, on vit avec la 4G.",quartier adsl fibre voir 4g.,quartier adsl fibre vit 4g.,neutre,
"J’ai une soi-disant fibre à 200 Mbps, et je n’arrive même pas à regarder la TV. À l’époque de l’internet 1515, c’était mieux.;","J’ai une soi-disant fibre à 200 Mbps, et je n’arrive même pas à regarder la TV. À l’époque de l’internet 1515, c’était mieux.","J’ai une soi-disant fibre à 200 Mbps, et je n’arrive même pas à regarder la TV. À l’époque de l’internet 1515, c’était mieux.",dire fibre 200 mbps arriver regarder tv époque internet 1515 mieux,disant fibre 200 mbps arrive regarder tv époque internet 1515 mieux,positif,
"Pas disponible à Alger Plage, en face de la mosquée ESSouuna. Cosider et 300 logements sociaux en attente. Merci.;","Pas disponible à Alger Plage, en face de la mosquée ESSouuna. Cosider et 300 logements sociaux en attente. Merci.","Pas disponible à Alger Plage, en face de la mosquée ESSouuna. Cosider et 300 logements sociaux en attente. Merci.",disponible alger plage face mosquée essouuna cosider 300 logement social attente,disponible alger plage face mosquée essouuna cosider 300 logements sociaux attente,positif,
"On cherche le FTTH au 78 avenue des Frères Abdeslami à Kouba, mais personne ne l’a. On est aux portes de 2025.;","On cherche le FTTH au 78 avenue des Frères Abdeslami à Kouba, mais personne ne l’a. On est aux portes de 2025.","On cherche le FTTH au 78 avenue des Frères Abdeslami à Kouba, mais personne ne l’a. On est aux portes de 2025.",cherche ftth 78 avenue frère abdeslami kouba a. porte 2025,cherche ftth 78 avenue frères abdeslami kouba a. portes 2025,négatif,problème réseau
"Je me suis inscrit mais jusqu’à présent aucune nouvelle, à l’agence on me dit que le modem est indisponible.;","Je me suis inscrit mais jusqu’à présent aucune nouvelle, à l’agence on me dit que le modem est indisponible.","Je me suis inscrit mais jusqu’à présent aucune nouvelle, à l’agence on me dit que le modem est indisponible.",inscrire jusqu’ présent aucun nouveau agence modem indisponible,inscrit jusqu’ présent aucune nouvelle agence modem indisponible,neutre,
"Bonjour, nous attendons toujours une réponse ou un contact de votre part. Nous sommes un centre de maintenance en électronique et agents agréés pour plusieurs marques. Nous aimerions devenir revendeurs agréés pour vos services techniques, mais nous n’avons aucun moyen de contact...;","Bonjour, nous attendons toujours une réponse ou un contact de votre part. Nous sommes un centre de maintenance en électronique et agents agréés pour plusieurs marques. Nous aimerions devenir revendeurs agréés pour vos services techniques, mais nous n’avons aucun moyen de contact...","Bonjour, nous attendons toujours une réponse ou un contact de votre part. Nous sommes un centre de maintenance en électronique et agents agréés pour plusieurs marques. Nous aimerions devenir revendeurs agréés pour vos services techniques, mais nous n’avons aucun moyen de contact...",bonjour attendre réponse contact part être centre maintenance électronique agent agréer marque aimer devenir revendeur agréer service technique aucun moyen contact,bonjour attendons réponse contact part sommes centre maintenance électronique agents agréés marques aimerions devenir revendeurs agréés services techniques aucun moyen contact,positif,
Venez me faire l’installation internet à la maison. Je paie et je dois venir derrière vous.;,Venez me faire l’installation internet à la maison. Je paie et je dois venir derrière vous.,Venez me faire l’installation internet à la maison. Je paie et je dois venir derrière vous.,venez faire installation internet maison payer devoir venir,venez faire installation internet maison paie dois venir,positif,
"Petite question les amis : ils m’ont livré le modem et installé le câble, mais toujours pas d’internet. Pourquoi ?;","Petite question les amis : ils m’ont livré le modem et installé le câble, mais toujours pas d’internet. Pourquoi ?","Petite question les amis : ils m’ont livré le modem et installé le câble, mais toujours pas d’internet. Pourquoi ?",petit question ami livrer modem installer câble internet,petite question amis livré modem installé câble internet,négatif,problème réseau
"Pour ne pas rater l’offre, encore faut-il que vous nous considériez éligibles. À Saoula centre-ville, un privé a installé les câbles et les boîtiers, mais quand vous êtes venus pendant le Ramadan pour vendre les abonnements, vous m’avez dit que je ne suis pas concerné...;","Pour ne pas rater l’offre, encore faut-il que vous nous considériez éligibles. À Saoula centre-ville, un privé a installé les câbles et les boîtiers, mais quand vous êtes venus pendant le Ramadan pour vendre les abonnements, vous m’avez dit que je ne suis pas concerné...","Pour ne pas rater l’offre, encore faut-il que vous nous considériez éligibles. À Saoula centre-ville, un privé a installé les câbles et les boîtiers, mais quand vous êtes venus pendant le Ramadan pour vendre les abonnements, vous m’avez dit que je ne suis pas concerné...",rater offre falloir il considérer éligible saoula centre ville privé installer câble boîtier être venir ramadan vendre abonnement avoir concerner,rater offre faut -il considériez éligibles saoula centre ville privé installé câbles boîtiers êtes venus ramadan vendre abonnements avez concerné,négatif,offres commerciales
"Comment faire le passage de l’ADSL à la fibre ? Dans notre quartier, la fibre va du bloc 1 au bloc 58, mais seuls les blocs 45 à 58 sont raccordés, les blocs 1 à 35 sont encore à l’ADSL. Pourquoi aucune connexion ?;","Comment faire le passage de l’ADSL à la fibre ? Dans notre quartier, la fibre va du bloc 1 au bloc 58, mais seuls les blocs 45 à 58 sont raccordés, les blocs 1 à 35 sont encore à l’ADSL. Pourquoi aucune connexion ?","Comment faire le passage de l’ADSL à la fibre ? Dans notre quartier, la fibre va du bloc 1 au bloc 58, mais seuls les blocs 45 à 58 sont raccordés, les blocs 1 à 35 sont encore à l’ADSL. Pourquoi aucune connexion ?",faire passage adsl fibre quartier fibre bloc 1 bloc 58 bloc 45 58 raccorder bloc 1 35 adsl aucun connexion,faire passage adsl fibre quartier fibre bloc 1 bloc 58 blocs 45 58 raccordés blocs 1 35 adsl aucune connexion,neutre,
Un grand merci à vous...;,Un grand merci à vous...,Un grand merci à vous...,grand,grand,positif,
"Où est ce modem ? Les dossiers sont là, les travaux sont finis, mais toujours pas de connexion, car les modems sont indisponibles… une explication ?;","Où est ce modem ? Les dossiers sont là, les travaux sont finis, mais toujours pas de connexion, car les modems sont indisponibles… une explication ?","Où est ce modem ? Les dossiers sont là, les travaux sont finis, mais toujours pas de connexion, car les modems sont indisponibles… une explication ?",modem dossier travail fini connexion modem indisponibler explication,modem dossiers travaux finis connexion modems indisponibles explication,négatif,problème réseau
"La fibre a été installée à la maison, mais on n’a toujours pas internet. Donc on attend des années pour la fibre, et encore des années pour l’activation ?;","La fibre a été installée à la maison, mais on n’a toujours pas internet. Donc on attend des années pour la fibre, et encore des années pour l’activation ?","La fibre a été installée à la maison, mais on n’a toujours pas internet. Donc on attend des années pour la fibre, et encore des années pour l’activation ?",fibre être installer maison internet attendre année fibre année activation,fibre été installée maison internet attend années fibre années activation,négatif,problème réseau
L’internet est catastrophique.;,L’internet est catastrophique.,L’internet est catastrophique.,internet catastrophique,internet catastrophique,négatif,problème réseau
Pourquoi Idoom 4G est bloquée à Médéa ?;,Pourquoi Idoom 4G est bloquée à Médéa ?,Pourquoi Idoom 4G est bloquée à Médéa ?,idoom 4 gramme bloquer médéa,idoom 4 g bloquée médéa,négatif,problème réseau
"Réglez-nous la fibre… Cela fait 6 mois que les poteaux et les câbles sont posés, puis plus rien. (Rue de la gare, Kadiria, Bouira);","Réglez-nous la fibre… Cela fait 6 mois que les poteaux et les câbles sont posés, puis plus rien. (Rue de la gare, Kadiria, Bouira)","Réglez-nous la fibre… Cela fait 6 mois que les poteaux et les câbles sont posés, puis plus rien. (Rue de la gare, Kadiria, Bouira)",réglez nous fibre 6 mois poteau câble poser rien rue gare kadiria bouira,réglez -nous fibre 6 mois poteaux câbles posés rien rue gare kadiria bouira,neutre,
...;,...,...,,,positif,
Fournissez les modems à Constantine.;,Fournissez les modems à Constantine.,Fournissez les modems à Constantine.,fournir modem constantine,fournissez modems constantine,positif,
"Sauvez les abonnés ADSL qui galèrent, ils sont dans l’impasse. Pensez à eux d’abord avant d’attirer de nouveaux abonnés.;","Sauvez les abonnés ADSL qui galèrent, ils sont dans l’impasse. Pensez à eux d’abord avant d’attirer de nouveaux abonnés.","Sauvez les abonnés ADSL qui galèrent, ils sont dans l’impasse. Pensez à eux d’abord avant d’attirer de nouveaux abonnés.",sauvez abonné adsl galèrent impasse penser attirer nouveau abonné,sauvez abonnés adsl galèrent impasse pensez attirer nouveaux abonnés,négatif,problème réseau
"Le rythme est très lent, éclairez-nous, surtout pour les nouvelles villes décidées par décret présidentiel, comme Annaba Ain Jebara.;","Le rythme est très lent, éclairez-nous, surtout pour les nouvelles villes décidées par décret présidentiel, comme Annaba Ain Jebara.","Le rythme est très lent, éclairez-nous, surtout pour les nouvelles villes décidées par décret présidentiel, comme Annaba Ain Jebara.",rythme lent éclairer nous nouveau ville décider décret présidentiel annaba ain jebara,rythme lent éclairez -nous nouvelles villes décidées décret présidentiel annaba ain jebara,neutre,
"On espère que vous allez terminer notre quartier avec la fibre, ensuite ce sera plus facile.;","On espère que vous allez terminer notre quartier avec la fibre, ensuite ce sera plus facile.","On espère que vous allez terminer notre quartier avec la fibre, ensuite ce sera plus facile.",espérer aller terminer quartier fibre ensuite facile,espère allez terminer quartier fibre ensuite facile,positif,
"Les conditions doivent être claires, pas ambiguës. Que signifie un document prouvant la résidence ? Est-ce qu’un contrat de location suffit ?;","Les conditions doivent être claires, pas ambiguës. Que signifie un document prouvant la résidence ? Est-ce qu’un contrat de location suffit ?","Les conditions doivent être claires, pas ambiguës. Que signifie un document prouvant la résidence ? Est-ce qu’un contrat de location suffit ?",condition clair ambigu signifier document prouver résidence -ce contrat location,conditions claires ambiguës signifie document prouvant résidence -ce contrat location,positif,
"Pourquoi se précipiter alors qu’on n’a même pas encore la fibre, alors qu’un nouveau quartier tout proche l’a déjà ?;","Pourquoi se précipiter alors qu’on n’a même pas encore la fibre, alors qu’un nouveau quartier tout proche l’a déjà ?","Pourquoi se précipiter alors qu’on n’a même pas encore la fibre, alors qu’un nouveau quartier tout proche l’a déjà ?",précipiter fibre quartier,précipiter fibre quartier,négatif,problème réseau
"Franchement, l’ADSL est une catastrophe.;","Franchement, l’ADSL est une catastrophe.","Franchement, l’ADSL est une catastrophe.",franchement adsl catastrophe,franchement adsl catastrophe,négatif,problème réseau
Que veut-on dire par ‘numéro de client’ ?;,Que veut-on dire par ‘numéro de client’ ?,Que veut-on dire par ‘numéro de client’ ?,vouloir on numéro client,veut -on numéro client,positif,
Je n’ai pas compris quel code entrer.;,Je n’ai pas compris quel code entrer.,Je n’ai pas compris quel code entrer.,code entrer,code entrer,négatif,problème réseau
"Il y a un problème dans l’application, impossible d’activer la recharge de secours via l’app. Veuillez corriger cela.;","Il y a un problème dans l’application, impossible d’activer la recharge de secours via l’app. Veuillez corriger cela.","Il y a un problème dans l’application, impossible d’activer la recharge de secours via l’app. Veuillez corriger cela.",problème application impossible activer recharge secours app vouloir corriger,problème application impossible activer recharge secours app veuillez corriger,négatif,problème réseau
Je n’ai pas pu m’inscrire avec le numéro du modem 4G.;,Je n’ai pas pu m’inscrire avec le numéro du modem 4G.,Je n’ai pas pu m’inscrire avec le numéro du modem 4G.,inscrire numéro modem 4g.,inscrire numéro modem 4g.,négatif,problème réseau
La rubrique Espace Client ne fonctionne plus depuis un moment.;,La rubrique Espace Client ne fonctionne plus depuis un moment.,La rubrique Espace Client ne fonctionne plus depuis un moment.,rubrique espace client fonctionner moment,rubrique espace client fonctionne moment,neutre,
Mon Idoom ne marche plus depuis plusieurs jours.;,Mon Idoom ne marche plus depuis plusieurs jours.,Mon Idoom ne marche plus depuis plusieurs jours.,idoom marche jour,idoom marche jours,négatif,problème réseau
Ce serait bien d’ajouter la possibilité de recharger avec une carte.;,Ce serait bien d’ajouter la possibilité de recharger avec une carte.,Ce serait bien d’ajouter la possibilité de recharger avec une carte.,bien ajouter possibilité recharger carte,bien ajouter possibilité recharger carte,positif,
"L’Espace Client ne fonctionne pas chez moi, j’ai reçu le lien de confirmation par email, mais je ne peux pas me connecter. Quelle est la solution ?;","L’Espace Client ne fonctionne pas chez moi, j’ai reçu le lien de confirmation par email, mais je ne peux pas me connecter. Quelle est la solution ?","L’Espace Client ne fonctionne pas chez moi, j’ai reçu le lien de confirmation par email, mais je ne peux pas me connecter. Quelle est la solution ?",espace client fonctionner recevoir lien confirmation e-mail connecter solution,espace client fonctionne reçu lien confirmation email connecter solution,négatif,problème réseau
"Ceux qui ont l’ADSL ne peuvent pas jouer en ligne, ni faire de streaming. Des services très mauvais, jusqu’à quand ?;","Ceux qui ont l’ADSL ne peuvent pas jouer en ligne, ni faire de streaming. Des services très mauvais, jusqu’à quand ?","Ceux qui ont l’ADSL ne peuvent pas jouer en ligne, ni faire de streaming. Des services très mauvais, jusqu’à quand ?",adsl jouer ligne faire streaming service mauvais jusqu’,adsl jouer ligne faire streaming services mauvais jusqu’,négatif,problème réseau
"L’application ne fonctionne pas, quelle est la solution ?;","L’application ne fonctionne pas, quelle est la solution ?","L’application ne fonctionne pas, quelle est la solution ?",application fonctionner solution,application fonctionne solution,négatif,autre
"Je suis passé de la 4G LTE à la fibre optique, mais j’ai toujours les infos de la 4G LTE qui s’affichent.;","Je suis passé de la 4G LTE à la fibre optique, mais j’ai toujours les infos de la 4G LTE qui s’affichent.","Je suis passé de la 4G LTE à la fibre optique, mais j’ai toujours les infos de la 4G LTE qui s’affichent.",passer 4 gramme lte fibre optique info 4 gramme lte afficher,passé 4 g lte fibre optique infos 4 g lte affichent,négatif,problème réseau
Ça ne fonctionne pas.;,Ça ne fonctionne pas.,Ça ne fonctionne pas.,fonctionner,fonctionne,négatif,autre
"Mon code ne veut pas passer, y a-t-il une solution ?;","Mon code ne veut pas passer, y a-t-il une solution ?","Mon code ne veut pas passer, y a-t-il une solution ?",code vouloir passer -t il solution,code veut passer -t -il solution,négatif,problème réseau
"Si vous pouviez juste ajouter une petite fonctionnalité : quand vous donnez les infos du numéro, ajoutez le nom de l’abonné, on éviterait bien des erreurs. Merci.;","Si vous pouviez juste ajouter une petite fonctionnalité : quand vous donnez les infos du numéro, ajoutez le nom de l’abonné, on éviterait bien des erreurs. Merci.","Si vous pouviez juste ajouter une petite fonctionnalité : quand vous donnez les infos du numéro, ajoutez le nom de l’abonné, on éviterait bien des erreurs. Merci.",pouvoir ajouter petit fonctionnalité donner info numéro ajouter nom abonner éviter bien erreur,pouviez ajouter petite fonctionnalité donnez infos numéro ajoutez nom abonné éviterait bien erreurs,positif,
Comment faire une demande pour la fibre ? Je dois aller à l’agence ou ils viennent ? J’ai l’ADSL et je veux changer.;,Comment faire une demande pour la fibre ? Je dois aller à l’agence ou ils viennent ? J’ai l’ADSL et je veux changer.,Comment faire une demande pour la fibre ? Je dois aller à l’agence ou ils viennent ? J’ai l’ADSL et je veux changer.,faire demande fibre devoir aller agence venir adsl vouloir changer,faire demande fibre dois aller agence viennent adsl veux changer,positif,
"Le problème avec l’app : elle ne garde ni le numéro de téléphone ni le mot de passe, il faut les saisir à chaque fois.;","Le problème avec l’app : elle ne garde ni le numéro de téléphone ni le mot de passe, il faut les saisir à chaque fois.","Le problème avec l’app : elle ne garde ni le numéro de téléphone ni le mot de passe, il faut les saisir à chaque fois.",problème app garde numéro téléphone mot passer falloir saisir fois,problème app garde numéro téléphone mot passe faut saisir fois,négatif,problème réseau
Ne fonctionne pas.;,Ne fonctionne pas.,Ne fonctionne pas.,fonctionner,fonctionne,négatif,problème réseau
"Bonjour, c’est quoi le numéro de client ?;","Bonjour, c’est quoi le numéro de client ?","Bonjour, c’est quoi le numéro de client ?",bonjour numéro client,bonjour numéro client,positif,
